sequence,plot,species,plant_number,type,tissue_type,aboveground_biomass_g,date_collected,notes
,non_plot,THLA,18,AGB,,0.31182,,
,non_plot,THLA,19,AGB,leaves,0.19713,,
,non_plot,THLA,19,AGB,stem,0.59987,,
,non_plot,THLA,20,AGB,,0.27998,,
,non_plot,THLA,21,AGB,leaves,0.03679,,
,non_plot,THLA,21,AGB,stem,0.13951,,
,non_plot,THLA,22,AGB,leaves,0.24925,,
,non_plot,THLA,22,AGB,stem,0.64816,,
,non_plot,THLA,23,AGB,leaves,0.05679,,
,non_plot,THLA,23,AGB,stem,0.3101,,
,non_plot,THLA,24,AGB,leaves,0.01014,,
,non_plot,THLA,24,AGB,stem,0.08621,,
,non_plot,CHPA,1,AGB,,0.6916,,1 of 2
,non_plot,CHPA,1,AGB,,0.4524,,2 of 2
,non_plot,CHPA,2,AGB,,0.4213,,1 of 2
,non_plot,CHPA,2,AGB,,0.4779,,2 of 2
,non_plot,CHPA,3,AGB,,0.2043,,
,non_plot,CHPA,4,AGB,,0.4608,,
,non_plot,CHPA,5,AGB,,0.5343,,
,non_plot,CHPA,6,AGB,,0.7178,,
,non_plot,CHPA,7,AGB,,0.1902,,
,non_plot,CHPA,8,AGB,,0.4408,,
