Species.Name,Origin,Life.Form,Abundance.Metric.2007,Abundance.Metric.2008,Peak.Flowering,Height..m.,Seed.Mass..mg.,SLA..cm2.g.,standard_binomial,USDA_symbol,max_height,seed_mass,SLA
Lactuca serriola,Exotic,Forb,-0.134,-0.174,7,1,0.417,283.373,Lactuca serriola,LASE,100,4.17e-4,283.373
Lessingia filaginifolia,Native,Forb,0.744,0.491,9,0.5,2.3,209.365,Corethrogyne filaginifolia,COFI2,50,0.0023,209.365
Lepidium nitidum,Native,Forb,0.03,0.367,2.5,0.229,0.789,142.507,Lepidium nitidum,LENI,22.900000000000002,7.89e-4,142.507
Lolium multiflorum,Exotic,Grass,0.015,NA,NA,0.6,2.05,134,Lolium perenne,LOPE,60,0.0020499999999999997,134
Lomatium utriculatum,Native,Forb,0.06,0.16,3.5,0.241,8.94,114.721,Lomatium utriculatum,LOUT,24.099999999999998,0.00894,114.721
Lotus purshianus,Native,Forb,0.005,-0.005,7,0.325,5.09,164.33,Lotus americanus,LOAM5,32.5,0.00509,164.33
Lotus humistratus,Native,Forb,0.075,0.676,4.5,0.127,2.61,132.702,Lotus humistratus,LOHU2,12.7,0.00261,132.702
Lotus strigosus,Native,Forb,NA,0.02,4.5,0.265,2.94,NA,Lotus strigosus,LOST4,26.5,0.00294,NA
Lupinus bicolor,Native,Forb,0.01,0,4.5,0.25,NA,149.168,Lupinus bicolor,LUBI,25,NA,149.168
Lupinus nanus,Native,Forb,-0.005,-1.928,3.5,0.25,9.87,152.416,Lupinus nanus,LUNA3,25,0.009869999999999999,152.416
Medicago polymorpha,Exotic,Forb,-0.044,-0.015,5,0.3,3.67,207.85,Medicago polymorpha,MEPO3,30,0.00367,207.85
Micropus californicus,Native,Forb,0.217,0.161,4,0.14,1.94,208.512,Micropus californicus,MICA,14.000000000000002,0.0019399999999999999,208.512
Microseris douglasii,Native,Forb,0.05,0.01,5.5,0.14,NA,NA,Microseris douglasii,MIDO,14.000000000000002,NA,NA
Nassella pulchra,Native,Grass,40.404,38.811,4.5,0.65,4.03,53.706,Stipa pulchra,STPU2,65,0.004030000000000001,53.706
Navarretia jaredii,Native,Forb,0.782,5.976,5.5,0.115,0.224,151.824,Navarretia mitracarpa,NAMI4,11.5,2.24e-4,151.824
Plantago erecta,Native,Forb,3.636,2.391,4,0.08,1.36,139.2,Plantago erecta,PLER3,8,0.00136,139.2
Plagiobothrys nothofolvus,Native,Forb,-0.374,-4.122,4,0.45,1.29,200.113,Plagiobothrys nothofulvus,PLNO,45,0.0012900000000000001,200.113
Poa secunda,Native,Grass,-0.02,0.01,5,0.575,0.325,NA,Poa secunda,POSE,57.49999999999999,3.25e-4,NA
Silene gallica,Exotic,Forb,0.217,0.733,5,0.25,0.317,188.134,Silene gallica,SIGA,25,3.17e-4,188.134
Sisyrinchium bellum,Native,Forb,0.061,0.025,4,0.305,2.44,116.727,Sisyrinchium bellum,SIBE,30.5,0.00244,116.727
Sonchus sp.,Exotic,Forb,-0.01,NA,NA,0.75,0.28,313.165,Sonchus sp.,NA,75,2.8000000000000003e-4,313.165
Stellaria media,Exotic,Forb,0.005,NA,5.5,0.285,0.526,NA,Stellaria media,STME2,28.499999999999996,5.26e-4,NA
Thysanocarpus curvipes,Native,Forb,-0.1,-0.335,4,0.475,1.41,184.48,Thysanocarpus curvipes,THCU,47.5,0.00141,184.48
Trichostema lanceolatum,Native,Forb,NA,0.12,8.5,0.381,2.26,205,Trichostema lanceolatum,TRLA4,38.1,0.00226,205
Trifolium albopurpureum,Native,Forb,0.02,-0.051,4.5,0.254,2,148.411,Trifolium albopurpureum,TRAL5,25.4,0.002,148.411
Trifolium ciliolatum,Native,Forb,NA,-0.204,4.5,0.292,3.79,184.326,Trifolium ciliolatum,TRCI,29.2,0.00379,184.326
Trifolium depauperatum,Native,Forb,0.01,0.039,5,0.152,0.385,NA,Trifolium depauperatum,TRDE,15.2,3.8500000000000003e-4,NA
T. depauperatum var. truncatum,Native,Forb,NA,1.965,5,0.046,0.757,NA,T. depauperatum var. truncatum,NA,4.6,7.57e-4,NA
Trifolium gracilentum,Native,Forb,-0.025,0.01,4.5,0.241,0.959,194.888,Trifolium gracilentum,TRGR2,24.099999999999998,9.59e-4,194.888
Trifolium microcephalum,Native,Forb,-0.01,0.005,6,0.165,0.585,167.314,Trifolium microcephalum,NA,16.5,5.85e-4,167.314
Tropidocarpum gracile,Native,Forb,0.01,NA,4,0.3,NA,NA,Tropidocarpum gracile,TRGR5,30,NA,NA
Uropappus lindleyi,Native,Forb,NA,0.038,4.5,0.375,3,217.63,Uropappus lindleyi,URLI5,37.5,0.003,217.63
Viola pedunculata,Native,Forb,-0.046,-0.419,3,0.075,3.93,99.987,Viola pedunculata,VIPE3,7.5,0.00393,99.987
Vulpia myuros,Exotic,Grass,0.468,0.556,4,0.375,0.333,128.037,Festuca myuros,FEMY2,37.5,3.33e-4,128.037
Yabea microcarpa,Native,Forb,0,-0.08,5,0.215,5,214.314,Yabea microcarpa,YAMI,21.5,0.005,214.314
