USDA_symbol,plant_number,SLA,LDMC,LA,SRL,calflora_taxon,common,life_history,form,status,family,calflora_binomial,synonym,standard_binomial,genus,species
AVFA,3,211.0783138423241,0.2561791190404691,9.083666666666666,NaN,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,4,211.846490394791,0.2285024462720645,14.231,NaN,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,5,213.2182808798121,0.26074790433189143,8.836666666666666,30.54154746423927,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,6,211.85120239791658,0.23657246768077828,8.611666666666666,34.376603905160394,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,7,232.0751628081065,0.22710035840580525,9.726333333333333,41.76232198142414,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,8,221.01579626580704,0.24481028089353052,9.411666666666667,33.62758443465492,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
BRDI3,1,261.6923132521412,0.2537576635246765,10.584,61.70170731707317,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,2,298.1191635540174,0.2455967420063205,7.619,42.90997518610421,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,3,252.16136049665073,0.2503871984527668,12.897666666666666,45.97690104166667,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,4,280.6495371652893,0.278224787381713,8.319,32.79214953271028,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,5,250.34560605460632,0.26154378342103973,11.066,44.94089519650655,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,6,251.46702459995691,0.3011128846991436,8.764666666666667,36.91988095238096,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,7,231.32911085263655,0.27143399355361375,12.926,50.55381520119224,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRDI3,8,208.7394501142662,0.3095472398854144,11.193666666666667,50.73074074074075,Bromus diandrus,Ripgut brome,Annual,grass,non-native,POACEAE,Bromus diandrus,NA,Bromus diandrus,Bromus,diandrus
BRHO2,1,309.314493796219,0.22419025166346793,2.955,115.54085106382978,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,2,318.0965404690556,0.24693144146579246,2.3333333333333335,245.86661764705886,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,3,286.98082835039355,0.25317230225007437,3.037333333333333,128.28140350877192,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,4,260.49476703513795,0.25063766913488,3.775,67.6502808988764,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,5,295.7171016052372,0.24679159238780501,3.113,75.40657894736842,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,6,265.1806942966598,0.23901880592520544,3.366,166.90507462686568,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,7,269.18180647389573,0.2714548861714491,3.5843333333333334,101.9099504950495,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
BRHO2,8,273.7479094000833,0.25038147283383405,1.9676666666666667,135.93131578947367,Bromus hordeaceus,Soft chess,Annual,grass,non-native,POACEAE,Bromus hordeaceus,NA,Bromus hordeaceus,Bromus,hordeaceus
FEMY2,1,262.615516870836,0.27789576274536126,0.9136666666666666,97.19418918918919,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,2,229.7829131652661,0.3021911138161899,0.5163333333333333,149.58117647058825,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,3,248.0701754385965,0.3468728420637269,0.42800000000000005,205.83967741935484,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,4,310.151724137931,0.2219350910633879,1.6333333333333333,184.31905759162305,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,5,397.9695340501792,0.19610847763285713,1.4083333333333332,146.57052238805971,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,6,200.3571428571429,0.3056768558951965,0.404,117.412,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,7,262.3784036012297,0.23070135876832082,2.876333333333333,112.7675352112676,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
FEMY2,8,240.05068207654415,0.2672151213346172,1.321,113.92742857142858,Festuca myuros,Rattail sixweeks grass,Annual,grass,non-native,POACEAE,Festuca myuros,NA,Festuca myuros,Festuca,myuros
LOPE,1,189.42439431913115,0.2732278785830599,2.4126666666666665,57.44309236947792,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,2,246.93927544048904,0.24982418914415694,2.8886666666666665,80.19382978723404,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,3,185.3907553676716,0.28074901156653564,2.448,47.41492227979275,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,4,207.2425262225271,0.2794935160199675,2.2643333333333335,54.283151125401936,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,5,189.29450486307374,0.3471642398570826,3.1403333333333334,44.7623352165725,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,6,177.66708240550525,0.28891748024097963,3.494666666666667,64.87481818181818,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,7,259.7605168561158,0.2368902552003457,2.939,60.6217027863777,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
LOPE,8,265.60471230937554,0.24217346278843496,2.457,92.0863961038961,Festuca perennis,Italian rye grass,Annual,Perennial,non-native,POACEAE,Festuca perennis,Lolium perenne,Lolium perenne,Lolium,perenne
STPU2,1,115.55550627961777,0.4606250907144165,6.056,16.703237791932057,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,2,114.1885965980595,0.46032241073636676,6.0600000000000005,13.240960960960958,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,3,124.51081136993098,0.42915369140250453,5.251333333333333,NaN,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,4,105.06876318569581,0.48770746233484924,3.787333333333333,10.345400890868598,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,5,105.56109424502085,0.47491682667359264,5.3213333333333335,13.777928286852589,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,6,109.23451317977012,0.4460944201150044,6.946,15.923734590282816,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,7,110.3840021546586,0.45340359592657437,7.8180000000000005,14.626583769633509,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
STPU2,8,114.85946314964936,0.4105843715006365,5.91,34.491907151819326,Stipa pulchra,Purple needle grass,Perennial,grass,native,POACEAE,Stipa pulchra,NA,Stipa pulchra,Stipa,pulchra
