sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes,,,,
176,751,laca,5,2,2.7,0.2,0.0147,,0.00235,,1,24-Mar-17,,,,,
177,751,laca,5,3,2.6,0.2,0.00902,,0.00145,,1,24-Mar-17,,,,,
178,non_plot,clpe,1,1,18.8,6.5,0.97673,,0.04,,1,24-Mar-17,Clpe == Claytonia perfoliata == miners lettuce,,,,
179,non_plot,clpe,1,2,17.9,5.8,0.81484,,0.0304,,1,24-Mar-17,,,,,
180,non_plot,clpe,1,3,17.4,5.6,0.46777,,0.02,,1,24-Mar-17,,,,,
181,non_plot,clpe,2,1,12.1,4.5,0.40701,,0.0182,,1,24-Mar-17,,,,,
182,non_plot,clpe,2,2,13.8,4.7,0.55611,,0.0245,,1,24-Mar-17,,,,,
183,non_plot,clpe,2,3,11.6,3.6,0.33044,,0.0155,,1,24-Mar-17,,,,,
184,non_plot,clpe,3,1,15.6,5.8,0.81852,,0.0348,,1,24-Mar-17,,,,,
185,non_plot,clpe,3,2,11.8,3.6,0.26432,,0.0107,,1,24-Mar-17,,,,,
186,non_plot,clpe,3,3,10.3,3,0.20406,,0.0084,,1,24-Mar-17,,,,,
187,non_plot,clpe,4,1,12.1,3.6,0.34799,,0.0133,,1,24-Mar-17,,,,,
188,non_plot,clpe,4,2,11.6,2.8,0.22342,,0.0075,,1,24-Mar-17,,,,,
189,non_plot,clpe,4,3,8.1,1.8,0.09329,,0.0036,,1,24-Mar-17,,,,,
190,non_plot,clpe,5,1,12.5,4.6,0.37841,,0.019,,1,24-Mar-17,,,,,
191,non_plot,clpe,5,2,11.9,4.7,0.40876,,0.0194,,1,24-Mar-17,,,,,
192,non_plot,clpe,5,3,11.1,3.5,0.25102,,0.0127,,1,24-Mar-17,,,,,
193,non_plot,clpe,6,1,11.8,4.9,0.47869,,0.0167,,1,24-Mar-17,,,,,
194,non_plot,clpe,6,2,17.6,5,0.64498,,0.0238,,1,24-Mar-17,,,,,
195,non_plot,clpe,6,3,12.4,2.8,0.23823,,0.008,,1,24-Mar-17,,,,,
196,non_plot,clpe,7,1,15.8,4.9,0.61975,,0.028,,1,24-Mar-17,,,,,
197,non_plot,clpe,7,2,13.6,3.8,0.36212,,0.0162,,1,24-Mar-17,,,,,
198,non_plot,clpe,7,3,11.3,3.2,0.23717,,0.011,,1,24-Mar-17,,,,,
199,non_plot,clpe,8,1,17,6,0.85789,,0.033,,1,24-Mar-17,,,,,
200,non_plot,clpe,8,2,15.5,4.7,0.56843,,0.0212,,1,24-Mar-17,,,,,
201,non_plot,clpe,8,3,15.6,5,0.60702,,0.0235,,1,24-Mar-17,,,,,
202,744,pler,1,1,8,0.2,0.04351,,0.0197,,1,4-Apr-17,,,,,
203,744,pler,1,2,9.1,0.2,0.05625,,0.01361,,1,4-Apr-17,,,,,
204,744,pler,1,3,7.5,0.2,0.04122,,0.00906,,1,4-Apr-17,,,,,
205,744,pler,2,1,7.1,0.3,0.04139,,0.01048,,1,4-Apr-17,,,,,
206,744,pler,2,2,5.9,0.2,0.02981,,0.00799,,1,4-Apr-17,,,,,
207,744,pler,2,3,6.2,0.2,0.03426,,0.00841,,1,4-Apr-17,,,,,
208,744,pler,3,1,8.4,0.3,0.04156,,0.0091,,1,4-Apr-17,,,,,
209,744,pler,3,2,6.7,0.2,0.03421,,0.00792,,1,4-Apr-17,,,,,
210,744,pler,3,3,6.3,0.3,0.03066,,0.00768,,1,4-Apr-17,,,,,
211,744,pler,4,1,9.5,0.2,0.04231,,0.01085,,1,4-Apr-17,,,,,
212,744,pler,4,2,9.3,0.2,0.03757,,0.01078,,1,4-Apr-17,,,,,
213,744,pler,4,3,8.2,0.2,0.03379,,0.00816,,1,4-Apr-17,,,,,
214,744,pler,5,1,7.7,0.2,0.02411,,0.00757,,1,4-Apr-17,,,,,
215,744,pler,5,2,7,0.2,0.02108,,0.00684,,1,4-Apr-17,,,,,
216,744,pler,5,3,6,0.2,0.01515,,0.00479,,1,4-Apr-17,,,,,
217,non_plot,linanthus,1,1,0.8,0.8,0.00384,,0.0009,,1,4-Apr-17,,,,,
218,non_plot,linanthus,1,2,0.8,0.8,0.0031,,0.00064,,1,4-Apr-17,,,,,
219,non_plot,linanthus,1,3,0.8,0.6,0.00233,,0.00035,,1,4-Apr-17,,,,,
220,non_plot,linanthus,2,1,1.1,1.4,0.00671,,0.000911,,1,4-Apr-17,,,,,
221,non_plot,linanthus,2,2,1.2,1.6,0.00995,,0.00218,,1,4-Apr-17,,,,,
222,non_plot,linanthus,2,3,1.6,1.1,0.00879,,0.00168,,1,4-Apr-17,,,,,
223,non_plot,linanthus,3,1,0.9,0.5,0.0018,,0.00043,,1,4-Apr-17,,,,,
224,non_plot,linanthus,3,2,0.9,0.9,0.00204,,0.00046,,1,4-Apr-17,,,,,
225,non_plot,linanthus,3,3,1.1,0.8,0.00286,,0.00077,,1,4-Apr-17,,,,,
226,non_plot,linanthus,4,1,0.9,1.1,0.00302,,0.00062,,1,4-Apr-17,,,,,
227,non_plot,linanthus,4,2,1.4,1.2,0.00403,,0.00095,,1,4-Apr-17,,,,,
228,non_plot,linanthus,4,3,1.3,0.9,0.00379,,0.00086,,1,4-Apr-17,,,,,
229,non_plot,linanthus,5,1,0.7,0.7,0.00167,,0.00029,,1,4-Apr-17,,,,,
230,non_plot,linanthus,5,2,1,0.7,0.003,,0.00056,,1,4-Apr-17,,,,,
231,non_plot,linanthus,5,3,1.1,0.9,0.00416,,0.00086,,1,4-Apr-17,,,,,
232,non_plot,linanthus,6,1,1,0.7,0.0056,,0.00109,,1,4-Apr-17,,,,,
233,non_plot,linanthus,6,2,0.9,1.2,0.00589,,0.00129,,1,4-Apr-17,,,,,
234,non_plot,linanthus,6,3,0.9,1.2,0.00663,,0.00123,,1,4-Apr-17,,,,,
235,non_plot,linanthus,7,1,1.8,1.9,0.00815,,0.00176,,1,4-Apr-17,,,,,
236,non_plot,linanthus,7,2,1.1,1.7,0.00781,,0.00138,,1,4-Apr-17,,,,,
237,non_plot,linanthus,7,3,1,1.5,0.00448,,0.00079,,1,4-Apr-17,,,,,
238,non_plot,linanthus,8,1,0.9,0.6,0.00211,,0.00033,,1,4-Apr-17,,,,,
239,non_plot,linanthus,8,2,0.9,0.8,0.00242,,0.0003,,1,4-Apr-17,,,,,
240,non_plot,linanthus,8,3,0.9,0.8,0.00231,,0.00041,,1,4-Apr-17,,,,,
241,non_plot,vulpia_myuros,1,1,4.4,0.2,0.00895,,0.0023,,1,4-Apr-17,leaves often curled when scanning,,,,
242,non_plot,vulpia_myuros,1,2,7.1,0.3,0.01687,,0.0047,,1,4-Apr-17,leaves often curled when scanning,,,,
243,non_plot,vulpia_myuros,1,3,5,0.2,0.01107,,0.0033,,1,4-Apr-17,leaves often curled when scanning,,,,
244,non_plot,vulpia_myuros,2,1,4.3,0.2,0.0124,,0.0034,,1,4-Apr-17,leaves often curled when scanning,,,,
245,non_plot,vulpia_myuros,2,2,3.7,0.2,0.00636,,0.0021,,1,4-Apr-17,leaves often curled when scanning,,,,
246,non_plot,vulpia_myuros,2,3,2.9,0.2,0.00346,,,,1,4-Apr-17,"leaves often curled when scanning, missing dry weight, leaf probably fell out of envelope",,,,
247,non_plot,vulpia_myuros,3,1,5,0.1,0.00654,,0.0019,,1,4-Apr-17,leaves often curled when scanning,,,,
248,non_plot,vulpia_myuros,3,2,3.1,0.1,0.00372,,0.0015,,1,4-Apr-17,leaves often curled when scanning,,,,
249,non_plot,vulpia_myuros,3,3,2.9,0.1,0.00326,,0.0001,,1,4-Apr-17,"leaves often curled when scanning, leaf dry weight too low, leaves probably fell out  of envelope",,,,
250,749,vuma,1,1,7.9,0.3,0.02119,,0.00718,,1,5-Apr-17,,,,,
251,749,vuma,1,2,8.3,0.2,0.02122,,0.00714,,1,5-Apr-17,,,,,
252,749,vuma,1,3,7.4,0.2,0.01854,,0.0058,,1,5-Apr-17,,,,,
253,749,vuma,2,1,11.6,0.3,0.05686,,0.02167,,1,5-Apr-17,,,,,
254,749,vuma,2,2,12.2,0.3,0.04974,,0.01823,,1,5-Apr-17,,,,,
255,749,vuma,2,3,8.2,0.3,0.02969,,0.01131,,1,5-Apr-17,,,,,
256,749,vuma,3,1,7.9,0.2,0.01701,,0.00553,,1,5-Apr-17,,,,,
257,749,vuma,3,2,7.5,0.2,0.02347,,0.00794,,1,5-Apr-17,,,,,
258,749,vuma,3,3,6.2,0.2,0.01464,,0.00449,,1,5-Apr-17,,,,,
259,749,vuma,4,1,11.7,0.3,0.04449,,0.01436,,1,5-Apr-17,all leaves split across 2 scans,,,,
260,749,vuma,4,2,10.9,0.3,0.04191,,0.01203,,1,5-Apr-17,all leaves split across 2 scans,,,,
261,749,vuma,4,3,8.4,0.2,0.01957,,0.00673,,1,5-Apr-17,all leaves split across 2 scans,,,,
262,749,vuma,5,1,10.3,0.3,0.03775,,0.01241,,1,5-Apr-17,all leaves split across 2 scans,,,,
263,749,vuma,5,2,8,0.2,0.02352,,0.00781,,1,5-Apr-17,all leaves split across 2 scans,,,,
264,749,vuma,5,3,8.5,0.2,0.02708,,0.00881,,1,5-Apr-17,all leaves split across 2 scans,,,,
265,748,vuma,1,1,5.4,0.2,0.01224,,0.00387,,1,5-Apr-17,,,,,
266,748,vuma,1,2,3.9,0.2,0.0065,,0.00237,,1,5-Apr-17,,,,,
267,748,vuma,1,3,2.1,0.1,0.00278,,NA,,1,5-Apr-17,,,,,
268,748,vuma,2,1,4.7,0.2,0.00914,,0.00265,,1,5-Apr-17,,,,,
269,748,vuma,2,2,4,0.2,0.00621,,0.00183,,1,5-Apr-17,,,,,
270,748,vuma,2,3,4.2,0.2,0.00886,,0.00283,,1,5-Apr-17,,,,,
271,748,vuma,3,1,2.5,0.1,0.00269,,0.00078,,1,5-Apr-17,no leaves for all leaves scan,,,,
272,748,vuma,3,2,1.6,0.1,0.00116,,0.00043,,1,5-Apr-17,no leaves for all leaves scan,,,,
273,748,vuma,3,3,0.9,0.1,0.00053,,NA,,1,5-Apr-17,no leaves for all leaves scan,,,,
274,748,vuma,4,1,5.2,0.1,0.00859,,0.0025,,1,5-Apr-17,,,,,
275,748,vuma,4,2,3.2,0.1,0.00499,,0.00153,,1,5-Apr-17,,,,,
276,748,vuma,4,3,2.6,0.1,0.00338,,0.0012,,1,5-Apr-17,,,,,
277,748,vuma,5,1,6.8,0.2,0.01749,,0.00564,,1,5-Apr-17,,,,,
278,748,vuma,5,2,5.1,0.2,0.01497,,0.00499,,1,5-Apr-17,,,,,
279,748,vuma,5,3,4.7,0.2,0.01187,,0.00404,,1,5-Apr-17,,,,,
