plot,species,plant_number,dry_weight,notes
non_plot,LOTUS2,8,0.007,
non_plot,TRAL,1,0.0084,
non_plot,TRAL,2,0.0122,
non_plot,TRAL,3,0.0039,
non_plot,TRAL,4,0.0148,
non_plot,TRAL,5,0.0038,
non_plot,TRAL,6,0.0034,
non_plot,TRAL,7,0.0038,
non_plot,TRAL,8,0.0101,
non_plot,BRHO,1,0.0047,
non_plot,BRHO,2,0.0068,
non_plot,BRHO,3,0.0057,
non_plot,BRHO,4,0.0178,
non_plot,BRHO,5,0.0076,
non_plot,BRHO,6,0.0134,
non_plot,BRHO,7,0.0202,
non_plot,BRHO,8,0.0076,
non_plot,NAPU,1,0.1413,
non_plot,NAPU,2,0.0666,
non_plot,NAPU,3,,
non_plot,NAPU,4,0.0898,
non_plot,NAPU,5,0.1004,
non_plot,NAPU,6,0.1379,
non_plot,NAPU,7,0.0764,
non_plot,NAPU,8,0.0797,
non_plot,SIGA,1,0.0056,
non_plot,SIGA,2,0.0132,
non_plot,SIGA,3,0.0193,
non_plot,SIGA,4,0.0263,
non_plot,SIGA,5,0.0076,
non_plot,SIGA,6,0.0196,
non_plot,SIGA,7,0.0228,
non_plot,SIGA,8,0.0037,
non_plot,LARA,1,0.0032,
non_plot,ACMO,1,0.0007,
non_plot,ACMO,2,0.0065,
non_plot,ACMO,3,0.0184,
non_plot,ACMO,4,0.0075,
non_plot,ACMO,5,0.0081,
non_plot,ACMO,6,0.0045,
non_plot,ACMO,7,0.0028,
non_plot,ACMO,8,0.0016,
non_plot,VUMY,1,0.0074,
non_plot,VUMY,2,0.0017,
non_plot,VUMY,3,0.0031,
non_plot,VUMY,4,0.0191,
non_plot,VUMY,5,0.0134,
non_plot,VUMY,6,0.007,
non_plot,VUMY,7,0.0142,
non_plot,VUMY,8,0.007,
non_plot,LOMU,1,0.0249,
non_plot,LOMU,2,0.0188,
non_plot,LOMU,3,0.0193,
non_plot,LOMU,4,0.0311,
non_plot,LOMU,5,0.0531,
non_plot,LOMU,6,0.011,
non_plot,LOMU,7,0.0323,
non_plot,LOMU,8,0.0154,
non_plot,LARA,all roots,0.0093,
non_plot,LASE,6,0.0065,
non_plot,LASE,7,0.001,
non_plot,LASE,5,0.0034,
non_plot,LASE,8,0.0011,
non_plot,LARA,8,0.0032,
non_plot,LASE,2,0.007,
non_plot,Gilia,6,0.0079,
non_plot,Gilia,1,0.0017,
non_plot,Gilia,8,0.0007,
non_plot,Gilia,2,0.0011,
non_plot,Gilia,3,0.0062,
non_plot,Gilia,4,0.002,
non_plot,Gilia,5,0.0062,
non_plot,Gilia ,7,0.0104,
non_plot,CHPA,1,0.0058,
non_plot,CHPA,2,0.0021,
non_plot,CHPA,3,0.0321,
non_plot,CHPA,4,0.0082,
non_plot,CHPA,5,0.0124,
non_plot,CHPA,6,0.0011,
non_plot,CHPA,7,0.0053,
non_plot,CHPA,8,0.0071,
751,AGHE,1,0.0066,
751,AGHE,2,0.0028,
757,AGHE,1,0.0021,
757,AGHE,5,0.0058,
761,AGHE,2,0.0019,
comp,AGHE,3,0.0073,
757,AGHE,2,0.0079,
749,AGHE,5,0.0057,
