sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,,,,
71,non_plot,gilia,8,2,4.2,1.1,0.04819,,,,22-Mar-17,,,,,
72,non_plot,gilia,8,3,4.3,1.1,0.05164,,,,22-Mar-17,,,,,
73,749,brma,1,1,5.1,0.4,0.02785,,0.00768,,23-Mar-17,,,,,
74,749,brma,1,2,5,0.4,0.02264,,0.00598,,23-Mar-17,,,,,
75,749,brma,1,3,4.1,0.3,0.01028,,0.00277,,23-Mar-17,,,,,
76,749,brma,2,1,7,0.3,0.03605,,0.00894,,23-Mar-17,separated from 2 plants,,,,
77,749,brma,2,2,6.3,0.3,0.02806,,0.00683,,23-Mar-17,,,,,
78,749,brma,2,3,6.2,0.5,0.03738,,0.00859,,23-Mar-17,,,,,
79,749,brma,3,1,5.2,0.5,0.03419,,0.0096,,23-Mar-17,,,,,
80,749,brma,3,2,5.3,0.4,0.02922,,0.00792,,23-Mar-17,,,,,
81,749,brma,3,3,4.4,0.3,0.01439,,0.00403,,23-Mar-17,,,,,
82,749,brma,4,1,3.5,0.4,0.01675,,0.00457,,23-Mar-17,separated from 2 plants,,,,
83,749,brma,4,2,3.8,0.3,0.01011,,0.0028,,23-Mar-17,,,,,
84,749,brma,4,3,3.1,0.3,0.01202,,0.00355,,23-Mar-17,,,,,
85,749,brma,5,1,3,0.4,0.01367,,0.00357,,23-Mar-17,,,,,
86,749,brma,5,2,2.9,0.5,0.01653,,0.00456,,23-Mar-17,,,,,
87,749,brma,5,3,2.8,0.3,0.01081,,0.00295,,23-Mar-17,,,,,
88,749,amme,1,1,4.7,0.5,0.07961,,0.01171,,23-Mar-17,,,,,
89,749,amme,1,2,4.1,0.4,0.06368,,0.00908,,23-Mar-17,,,,,
90,749,amme,1,3,3.5,0.4,0.04395,,0.00694,,23-Mar-17,,,,,
91,749,amme,2,1,5.1,0.5,0.06806,,0.00926,,23-Mar-17,,,,,
92,749,amme,2,2,3.8,0.3,0.04307,,0.00677,,23-Mar-17,,,,,
93,749,amme,2,3,2.1,0.3,0.01784,,0.0032,,23-Mar-17,,,,,
94,749,amme,3,1,6.5,0.5,0.11479,,0.01386,,23-Mar-17,,,,,
95,749,amme,3,2,5.5,0.6,0.10713,,0.01383,,23-Mar-17,,,,,
96,749,amme,3,3,5,0.6,0.10695,,0.01338,,23-Mar-17,,,,,
97,749,amme,4,1,3.9,0.5,0.06464,,0.0098,,23-Mar-17,,,,,
98,749,amme,4,2,2.9,0.4,0.0374,,0.0058,,23-Mar-17,,,,,
99,749,amme,4,3,2.5,0.5,0.03197,,0.00516,,23-Mar-17,,,,,
100,749,amme,5,1,3.4,0.3,0.03387,,0.00493,,23-Mar-17,,,,,
101,749,amme,5,2,2.9,0.3,0.02659,,0.00406,,23-Mar-17,,,,,
102,749,amme,5,3,2.3,0.3,0.01654,,0.00288,,23-Mar-17,,,,,
103,749,saco,1,1,6.5,2.4,0.18481,,0.02837,,23-Mar-17,,,,,
104,749,saco,1,2,6.9,2.4,0.18329,,0.03018,,23-Mar-17,,,,,
105,749,saco,1,3,4.8,2.1,0.12029,,0.01991,,23-Mar-17,,,,,
106,749,saco,2,1,9.8,4.1,0.63539,,0.09049,,23-Mar-17,whacky scale!,,,,
107,749,saco,2,2,8.3,4.8,0.55074,,0.09105,,23-Mar-17,,,,,
108,749,saco,2,3,6.5,2.8,0.23799,,0.03541,,23-Mar-17,,,,,
109,749,saco,3,1,10.5,4.2,0.65437,,0.09441,,23-Mar-17,,,,,
110,749,saco,3,2,9,5,0.70727,,0.09751,,23-Mar-17,,,,,
111,749,saco,3,3,8,4,0.64483,,0.09334,,23-Mar-17,,,,,
112,749,saco,4,1,8.2,4.8,0.46178,,0.06361,,23-Mar-17,,,,,
113,749,saco,4,2,9.4,3.5,0.33016,,0.04411,,23-Mar-17,,,,,
114,749,saco,4,3,6.3,2.8,0.31266,,0.04271,,23-Mar-17,,,,,
115,749,saco,5,1,9.5,4.5,0.76612,,0.08416,,23-Mar-17,,,,,
116,749,saco,5,2,6,2.8,0.3738,,0.04152,,23-Mar-17,,,,,
117,749,saco,5,3,6.1,2.9,0.34354,,0.04192,,23-Mar-17,,,,,
118,749,laca,1,1,3.2,0.3,0.02059,,0.00251,,23-Mar-17,,,,,
119,749,laca,1,2,2.6,0.4,0.01862,,0.00243,,23-Mar-17,,,,,
120,749,laca,1,3,2.7,0.2,0.01261,,0.00134,,23-Mar-17,,,,,
121,749,laca,2,1,3.1,0.3,0.01873,,0.0021,,23-Mar-17,,,,,
122,749,laca,2,2,5.1,0.4,0.03624,,0.0043,,23-Mar-17,,,,,
123,749,laca,2,3,4.3,0.3,0.02998,,0.00373,,23-Mar-17,,,,,
124,749,laca,3,1,2.6,0.3,0.01842,,0.00246,,23-Mar-17,,,,,
125,749,laca,3,2,2.4,0.3,0.0177,,0.00232,,23-Mar-17,,,,,
126,749,laca,3,3,2.2,0.3,0.01386,,0.00199,,23-Mar-17,,,,,
127,749,laca,4,1,5.2,0.4,0.04878,,0.00631,,23-Mar-17,,,,,
128,749,laca,4,2,4.3,0.3,0.03675,,0.00504,,23-Mar-17,,,,,
129,749,laca,4,3,2.6,0.2,0.01391,,0.00209,,23-Mar-17,,,,,
130,749,laca,5,1,2.6,0.3,0.01342,,0.00166,,23-Mar-17,,,,,
131,749,laca,5,2,2,0.3,0.00799,,0.00082,,23-Mar-17,,,,,
132,749,laca,5,3,1.4,0.2,0.00386,,0.00056,,23-Mar-17,,,,,
133,744,laca,1,1,3.7,0.4,0.02949,,0.00461,,23-Mar-17,,,,,
134,744,laca,1,2,3.4,0.3,0.02462,,0.00366,,23-Mar-17,,,,,
135,744,laca,1,3,2.8,0.4,0.02142,,0.00359,,23-Mar-17,,,,,
136,744,laca,2,1,3.4,0.3,0.02177,,0.00294,,23-Mar-17,,,,,
137,744,laca,2,2,3.2,0.3,0.01976,,0.00292,,23-Mar-17,,,,,
138,744,laca,2,3,2.7,0.3,0.01677,,0.00269,,23-Mar-17,,,,,
139,744,laca,3,1,4.6,0.4,0.03316,,0.00517,,23-Mar-17,,,,,
140,744,laca,3,2,4.3,0.3,0.02604,,0.00355,,23-Mar-17,,,,,
141,744,laca,3,3,3.5,0.3,0.02308,,0.00415,,23-Mar-17,,,,,
142,744,laca,4,1,2.5,0.3,0.01699,,0.00253,,23-Mar-17,,,,,
143,744,laca,4,2,2.7,0.3,0.01932,,0.00271,,23-Mar-17,,,,,
144,744,laca,4,3,1.9,0.3,0.00959,,0.00148,,23-Mar-17,,,,,
145,744,laca,5,1,3.9,0.3,0.02508,,0.00305,,23-Mar-17,,,,,
146,744,laca,5,2,3,0.3,0.02047,,0.00262,,23-Mar-17,,,,,
147,744,laca,5,3,3.3,0.3,0.02248,,0.00288,,23-Mar-17,,,,,
148,743,laca,1,1,4.5,0.3,0.03072,,0.00411,,23-Mar-17,,,,,
149,743,laca,1,2,4.7,0.3,0.02955,,0.00357,,23-Mar-17,,,,,
150,743,laca,1,3,3.1,0.3,0.0267,,0.00404,,23-Mar-17,,,,,
151,743,laca,2,1,3.7,0.2,0.01763,,0.00231,,23-Mar-17,,,,,
152,743,laca,2,2,3.5,0.3,0.02035,,0.00292,,23-Mar-17,,,,,
153,743,laca,2,3,1.5,0.2,0.00529,,0.00103,,23-Mar-17,,,,,
154,743,laca,3,1,3,0.3,0.01699,,0.0026,,23-Mar-17,,,,,
155,743,laca,3,2,3.2,0.3,0.01618,,0.00213,,23-Mar-17,,,,,
156,743,laca,3,3,2.9,0.3,0.01493,,0.0024,,23-Mar-17,,,,,
157,743,laca,4,1,2.8,0.2,0.01141,,0.00141,,23-Mar-17,,,,,
158,743,laca,4,2,2.9,0.2,0.01394,,0.00208,,23-Mar-17,,,,,
159,743,laca,4,3,2.1,0.2,0.00934,,0.00168,,23-Mar-17,,,,,
160,743,laca,5,1,2.1,0.2,0.00866,,0.00136,,23-Mar-17,,,,,
161,743,laca,5,2,2.2,0.2,0.00909,,0.00125,,23-Mar-17,,,,,
162,743,laca,5,3,2.3,0.2,0.00914,,0.0014,,23-Mar-17,,,,,
163,751,laca,1,1,5,0.3,0.03482,,0.00492,,24-Mar-17,,,,,
164,751,laca,1,2,4.6,0.3,0.02891,,0.00353,,24-Mar-17,,,,,
165,751,laca,1,3,3.8,0.3,0.02629,,0.00407,,24-Mar-17,,,,,
166,751,laca,2,1,4.2,0.2,0.0223,,0.00272,,24-Mar-17,,,,,
167,751,laca,2,2,2.2,0.3,0.01228,,0.0021,,24-Mar-17,,,,,
168,751,laca,2,3,2,0.2,0.00928,,0.00168,,24-Mar-17,,,,,
169,751,laca,3,1,3.2,0.2,0.01565,,0.00255,,24-Mar-17,,,,,
170,751,laca,3,2,3.4,0.3,0.0184,,0.00297,,24-Mar-17,,,,,
171,751,laca,3,3,2.7,0.3,0.0142,,0.00253,,24-Mar-17,,,,,
172,751,laca,4,1,2.7,0.3,0.01125,,0.0018,,24-Mar-17,,,,,
173,751,laca,4,2,2.4,0.2,0.00808,,0.00139,,24-Mar-17,,,,,
174,751,laca,4,3,1.9,0.2,0.00629,,0.00116,,24-Mar-17,,,,,
175,751,laca,5,1,3.7,0.2,0.02191,,0.00303,,24-Mar-17,,,,,
176,751,laca,5,2,2.7,0.2,0.0147,,0.00235,,24-Mar-17,,,,,
177,751,laca,5,3,2.6,0.2,0.00902,,0.00145,,24-Mar-17,,,,,
178,non_plot,clpe,1,1,18.8,6.5,0.97673,,0.04,,24-Mar-17,Clpe == Claytonia perfoliata == miners lettuce,,,,
179,non_plot,clpe,1,2,17.9,5.8,0.81484,,0.0304,,24-Mar-17,,,,,
180,non_plot,clpe,1,3,17.4,5.6,0.46777,,0.02,,24-Mar-17,,,,,
181,non_plot,clpe,2,1,12.1,4.5,0.40701,,0.0182,,24-Mar-17,,,,,
182,non_plot,clpe,2,2,13.8,4.7,0.55611,,0.0245,,24-Mar-17,,,,,
183,non_plot,clpe,2,3,11.6,3.6,0.33044,,0.0155,,24-Mar-17,,,,,
184,non_plot,clpe,3,1,15.6,5.8,0.81852,,0.0348,,24-Mar-17,,,,,
185,non_plot,clpe,3,2,11.8,3.6,0.26432,,0.0107,,24-Mar-17,,,,,
186,non_plot,clpe,3,3,10.3,3,0.20406,,0.0084,,24-Mar-17,,,,,
187,non_plot,clpe,4,1,12.1,3.6,0.34799,,0.0133,,24-Mar-17,,,,,
188,non_plot,clpe,4,2,11.6,2.8,0.22342,,0.0075,,24-Mar-17,,,,,
189,non_plot,clpe,4,3,8.1,1.8,0.09329,,0.0036,,24-Mar-17,,,,,
190,non_plot,clpe,5,1,12.5,4.6,0.37841,,0.019,,24-Mar-17,,,,,
191,non_plot,clpe,5,2,11.9,4.7,0.40876,,0.0194,,24-Mar-17,,,,,
192,non_plot,clpe,5,3,11.1,3.5,0.25102,,0.0127,,24-Mar-17,,,,,
193,non_plot,clpe,6,1,11.8,4.9,0.47869,,0.0167,,24-Mar-17,,,,,
194,non_plot,clpe,6,2,17.6,5,0.64498,,0.0238,,24-Mar-17,,,,,
195,non_plot,clpe,6,3,12.4,2.8,0.23823,,0.008,,24-Mar-17,,,,,
196,non_plot,clpe,7,1,15.8,4.9,0.61975,,0.028,,24-Mar-17,,,,,
197,non_plot,clpe,7,2,13.6,3.8,0.36212,,0.0162,,24-Mar-17,,,,,
198,non_plot,clpe,7,3,11.3,3.2,0.23717,,0.011,,24-Mar-17,,,,,
199,non_plot,clpe,8,1,17,6,0.85789,,0.033,,24-Mar-17,,,,,
200,non_plot,clpe,8,2,15.5,4.7,0.56843,,0.0212,,24-Mar-17,,,,,
201,non_plot,clpe,8,3,15.6,5,0.60702,,0.0235,,24-Mar-17,,,,,
202,744,pler,1,1,8,0.2,0.04351,,0.0197,,4-Apr-17,,,,,
203,744,pler,1,2,9.1,0.2,0.05625,,0.01361,,4-Apr-17,,,,,
204,744,pler,1,3,7.5,0.2,0.04122,,0.00906,,4-Apr-17,,,,,
205,744,pler,2,1,7.1,0.3,0.04139,,0.01048,,4-Apr-17,,,,,
206,744,pler,2,2,5.9,0.2,0.02981,,0.00799,,4-Apr-17,,,,,
207,744,pler,2,3,6.2,0.2,0.03426,,0.00841,,4-Apr-17,,,,,
208,744,pler,3,1,8.4,0.3,0.04156,,0.0091,,4-Apr-17,,,,,
209,744,pler,3,2,6.7,0.2,0.03421,,0.00792,,4-Apr-17,,,,,
210,744,pler,3,3,6.3,0.3,0.03066,,0.00768,,4-Apr-17,,,,,
211,744,pler,4,1,9.5,0.2,0.04231,,0.01085,,4-Apr-17,,,,,
212,744,pler,4,2,9.3,0.2,0.03757,,0.01078,,4-Apr-17,,,,,
213,744,pler,4,3,8.2,0.2,0.03379,,0.00816,,4-Apr-17,,,,,
214,744,pler,5,1,7.7,0.2,0.02411,,0.00757,,4-Apr-17,,,,,
215,744,pler,5,2,7,0.2,0.02108,,0.00684,,4-Apr-17,,,,,
216,744,pler,5,3,6,0.2,0.01515,,0.00479,,4-Apr-17,,,,,
217,non_plot,linanthus,1,1,0.8,0.8,0.00384,,0.0009,,4-Apr-17,,,,,
218,non_plot,linanthus,1,2,0.8,0.8,0.0031,,0.00064,,4-Apr-17,,,,,
219,non_plot,linanthus,1,3,0.8,0.6,0.00233,,0.00035,,4-Apr-17,,,,,
220,non_plot,linanthus,2,1,1.1,1.4,0.00671,,0.000911,,4-Apr-17,,,,,
221,non_plot,linanthus,2,2,1.2,1.6,0.00995,,0.00218,,4-Apr-17,,,,,
222,non_plot,linanthus,2,3,1.6,1.1,0.00879,,0.00168,,4-Apr-17,,,,,
223,non_plot,linanthus,3,1,0.9,0.5,0.0018,,0.00043,,4-Apr-17,,,,,
224,non_plot,linanthus,3,2,0.9,0.9,0.00204,,0.00046,,4-Apr-17,,,,,
225,non_plot,linanthus,3,3,1.1,0.8,0.00286,,0.00077,,4-Apr-17,,,,,
226,non_plot,linanthus,4,1,0.9,1.1,0.00302,,0.00062,,4-Apr-17,,,,,
227,non_plot,linanthus,4,2,1.4,1.2,0.00403,,0.00095,,4-Apr-17,,,,,
228,non_plot,linanthus,4,3,1.3,0.9,0.00379,,0.00086,,4-Apr-17,,,,,
229,non_plot,linanthus,5,1,0.7,0.7,0.00167,,0.00029,,4-Apr-17,,,,,
230,non_plot,linanthus,5,2,1,0.7,0.003,,0.00056,,4-Apr-17,,,,,
231,non_plot,linanthus,5,3,1.1,0.9,0.00416,,0.00086,,4-Apr-17,,,,,
232,non_plot,linanthus,6,1,1,0.7,0.0056,,0.00109,,4-Apr-17,,,,,
233,non_plot,linanthus,6,2,0.9,1.2,0.00589,,0.00129,,4-Apr-17,,,,,
234,non_plot,linanthus,6,3,0.9,1.2,0.00663,,0.00123,,4-Apr-17,,,,,
235,non_plot,linanthus,7,1,1.8,1.9,0.00815,,0.00176,,4-Apr-17,,,,,
236,non_plot,linanthus,7,2,1.1,1.7,0.00781,,0.00138,,4-Apr-17,,,,,
237,non_plot,linanthus,7,3,1,1.5,0.00448,,0.00079,,4-Apr-17,,,,,
238,non_plot,linanthus,8,1,0.9,0.6,0.00211,,0.00033,,4-Apr-17,,,,,
239,non_plot,linanthus,8,2,0.9,0.8,0.00242,,0.0003,,4-Apr-17,,,,,
240,non_plot,linanthus,8,3,0.9,0.8,0.00231,,0.00041,,4-Apr-17,,,,,
241,non_plot,vulpia_myuros,1,1,4.4,0.2,0.00895,,0.0023,,4-Apr-17,leaves often curled when scanning,,,,
242,non_plot,vulpia_myuros,1,2,7.1,0.3,0.01687,,0.0047,,4-Apr-17,leaves often curled when scanning,,,,
243,non_plot,vulpia_myuros,1,3,5,0.2,0.01107,,0.0033,,4-Apr-17,leaves often curled when scanning,,,,
244,non_plot,vulpia_myuros,2,1,4.3,0.2,0.0124,,0.0034,,4-Apr-17,leaves often curled when scanning,,,,
245,non_plot,vulpia_myuros,2,2,3.7,0.2,0.00636,,0.0021,,4-Apr-17,leaves often curled when scanning,,,,
246,non_plot,vulpia_myuros,2,3,2.9,0.2,0.00346,,,,4-Apr-17,leaves often curled when scanning,,,,
247,non_plot,vulpia_myuros,3,1,5,0.1,0.00654,,0.0019,,4-Apr-17,leaves often curled when scanning,,,,
248,non_plot,vulpia_myuros,3,2,3.1,0.1,0.00372,,0.0015,,4-Apr-17,leaves often curled when scanning,,,,
249,non_plot,vulpia_myuros,3,3,2.9,0.1,0.00326,,0.0001,,4-Apr-17,leaves often curled when scanning,,,,
250,749,vuma,1,1,7.9,0.3,0.02119,,0.00718,,5-Apr-17,,,,,
251,749,vuma,1,2,8.3,0.2,0.02122,,0.00714,,5-Apr-17,,,,,
252,749,vuma,1,3,7.4,0.2,0.01854,,0.0058,,5-Apr-17,,,,,
253,749,vuma,2,1,11.6,0.3,0.05686,,0.02167,,5-Apr-17,,,,,
254,749,vuma,2,2,12.2,0.3,0.04974,,0.01823,,5-Apr-17,,,,,
255,749,vuma,2,3,8.2,0.3,0.02969,,0.01131,,5-Apr-17,,,,,
256,749,vuma,3,1,7.9,0.2,0.01701,,0.00553,,5-Apr-17,,,,,
257,749,vuma,3,2,7.5,0.2,0.02347,,0.00794,,5-Apr-17,,,,,
258,749,vuma,3,3,6.2,0.2,0.01464,,0.00449,,5-Apr-17,,,,,
259,749,vuma,4,1,11.7,0.3,0.04449,,0.01436,,5-Apr-17,all leaves split across 2 scans,,,,
260,749,vuma,4,2,10.9,0.3,0.04191,,0.01203,,5-Apr-17,all leaves split across 2 scans,,,,
261,749,vuma,4,3,8.4,0.2,0.01957,,0.00673,,5-Apr-17,all leaves split across 2 scans,,,,
262,749,vuma,5,1,10.3,0.3,0.03775,,0.01241,,5-Apr-17,all leaves split across 2 scans,,,,
263,749,vuma,5,2,8,0.2,0.02352,,0.00781,,5-Apr-17,all leaves split across 2 scans,,,,
264,749,vuma,5,3,8.5,0.2,0.02708,,0.00881,,5-Apr-17,all leaves split across 2 scans,,,,
265,748,vuma,1,1,5.4,0.2,0.01224,,0.00387,,5-Apr-17,,,,,
266,748,vuma,1,2,3.9,0.2,0.0065,,0.00237,,5-Apr-17,,,,,
267,748,vuma,1,3,2.1,0.1,0.00278,,NA,,5-Apr-17,,,,,
268,748,vuma,2,1,4.7,0.2,0.00914,,0.00265,,5-Apr-17,,,,,
269,748,vuma,2,2,4,0.2,0.00621,,0.00183,,5-Apr-17,,,,,
270,748,vuma,2,3,4.2,0.2,0.00886,,0.00283,,5-Apr-17,,,,,
271,748,vuma,3,1,2.5,0.1,0.00269,,0.00078,,5-Apr-17,no leaves for all leaves scan,,,,
272,748,vuma,3,2,1.6,0.1,0.00116,,0.00043,,5-Apr-17,no leaves for all leaves scan,,,,
273,748,vuma,3,3,0.9,0.1,0.00053,,NA,,5-Apr-17,no leaves for all leaves scan,,,,
274,748,vuma,4,1,5.2,0.1,0.00859,,0.0025,,5-Apr-17,,,,,
275,748,vuma,4,2,3.2,0.1,0.00499,,0.00153,,5-Apr-17,,,,,
276,748,vuma,4,3,2.6,0.1,0.00338,,0.0012,,5-Apr-17,,,,,
277,748,vuma,5,1,6.8,0.2,0.01749,,0.00564,,5-Apr-17,,,,,
278,748,vuma,5,2,5.1,0.2,0.01497,,0.00499,,5-Apr-17,,,,,
279,748,vuma,5,3,4.7,0.2,0.01187,,0.00404,,5-Apr-17,,,,,
280,748,lowr,1,1,1,1,0.02419,,0.00392,,5-Apr-17,,,,,
281,748,lowr,1,2,1.4,0.9,0.02561,,0.00435,,5-Apr-17,,,,,
282,748,lowr,1,3,1.5,1,0.03042,,0.00498,,5-Apr-17,,,,,
283,748,lowr,2,1,1.1,1.1,0.01953,,0.00335,,5-Apr-17,,,,,
284,748,lowr,2,2,1,0.9,0.01888,,0.00305,,5-Apr-17,,,,,
285,748,lowr,2,3,1.2,1.5,0.03507,,0.00577,,5-Apr-17,,,,,
286,748,lowr,3,1,1,1,0.01726,,0.00244,,5-Apr-17,,,,,
287,748,lowr,3,2,1.3,1.1,0.02156,,0.00329,,5-Apr-17,,,,,
288,748,lowr,3,3,1.2,0.9,0.01804,,0.00276,,5-Apr-17,,,,,
289,748,lowr,4,1,1.2,1.3,0.04451,,0.00762,,5-Apr-17,,,,,
290,748,lowr,4,2,1.5,1.6,0.04021,,0.00656,,5-Apr-17,,,,,
291,748,lowr,4,3,1.6,1.4,0.04115,,0.01062,,5-Apr-17,,,,,
292,748,lowr,5,1,0.8,0.7,0.00841,,0.00162,,5-Apr-17,,,,,
293,748,lowr,5,2,0.7,0.6,0.00794,,0.00152,,5-Apr-17,,,,,
294,748,lowr,5,3,0.7,0.5,0.00728,,0.00104,,5-Apr-17,,,,,
295,749,lowr,1,1,1.5,1,0.0411,,0.0049,,5-Apr-17,Saving •À_•À__?•À_•À__ of plant for AGB,,,,
296,749,lowr,1,2,1.2,0.7,0.0132,,0.00162,,5-Apr-17,Saving •À_•À__?•À_•À__ of plant for AGB,,,,
